Trip ID,Pickup Date,Vehicle,Payment_type,Sumpass,Sum trip,book value,Location,total Bookings,pick hour
1,2024-06-01 00:00:00,UberX,Uber Pay,1,5.6,$21.5,East Village,1.0,0
10,2024-06-01 00:00:00,UberX,Uber Pay,2,1.9,$11.6,Lenox Hill East,1.0,0
11,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.66,$28.5,Clinton East,1.0,0
12,2024-06-01 00:00:00,Uber Comfort,Uber Pay,2,13.12,$36.5,Kips Bay,1.0,0
16,2024-06-01 00:00:00,Uber Black,Uber Pay,1,2.12,$10.4,Kips Bay,1.0,0
17,2024-06-01 00:00:00,UberXL,Uber Pay,1,3,$13.0,Midtown North,1.0,0
18,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,3.1,$14.6,Greenwich Village South,1.0,0
19,2024-06-01 00:00:00,UberXL,Uber Pay,1,5.63,$21.3,East Williamsburg,1.0,0
20,2024-06-01 00:00:00,Uber Green,Uber Pay,1,1.53,$8.6,Clinton East,1.0,0
22,2024-06-01 00:00:00,UberXL,Uber Pay,1,5.8,$25.5,Penn Station/Madison Sq West,1.0,0
23,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,2.5,$10.5,Penn Station/Madison Sq West,1.0,0
24,2024-06-01 00:00:00,Uber Comfort,Uber Pay,1,4.59,$21.2,Clinton East,1.0,0
28,2024-06-01 00:00:00,UberX,Uber Pay,1,8.18,$33.2,Kips Bay,1.0,0
29,2024-06-01 00:00:00,UberXL,Uber Pay,1,6.54,$23.5,Kips Bay,1.0,0
30,2024-06-01 00:00:00,UberXL,Uber Pay,6,3.68,$19.0,Lenox Hill East,1.0,0
33,2024-06-01 00:00:00,UberX,Uber Pay,1,7.5,$22.5,Manhattan Valley,1.0,1
36,2024-06-01 00:00:00,UberX,Uber Pay,1,5.3,$18.0,Midtown Center,1.0,1
40,2024-06-01 00:00:00,UberX,Uber Pay,1,4.3,$17.0,Murray Hill,1.0,1
46,2024-06-01 00:00:00,Uber Green,Uber Pay,1,4.64,$18.5,Murray Hill,1.0,1
50,2024-06-01 00:00:00,Uber Green,Uber Pay,1,7.27,$26.6,East Chelsea,1.0,1
53,2024-06-01 00:00:00,Uber Black,Uber Pay,1,19.31,$56.3,Brownsville,1.0,1
54,2024-06-01 00:00:00,UberX,Uber Pay,1,4.95,$21.0,Times Sq/Theatre District,1.0,1
57,2024-06-01 00:00:00,UberX,Uber Pay,1,2.6,$16.4,Garment District,1.0,1
